group,species,metric,slope,stderr,r2,p
Without_O2,P_sativum,sasa_total,1.163916978776527,0.3667334061539317,0.5018092845213745,0.009924378515622905
Without_O2,P_sativum,sasa_apolar,0.5208995006242187,0.2806276002139342,0.25625448585805305,0.09309449619834885
Without_O2,P_sativum,sasa_polar,0.643017478152308,0.1797792811201163,0.5612653387352409,0.005039232576291733
Without_O2,P_sativum,frac_apolar,-0.13070444907896098,0.155486922649722,0.06599942457750312,0.4202094781015172
Without_O2,O_spinosa,sasa_total,1.1413360382854756,0.5008508824011317,0.3417979249160533,0.0458796764714786
Without_O2,O_spinosa,sasa_apolar,0.867703703703705,0.28684966252326344,0.4778143271384673,0.012787085440627363
Without_O2,O_spinosa,sasa_polar,0.27364461090303627,0.2574484203259914,0.10150952887471183,0.31281645413698217
Without_O2,O_spinosa,frac_apolar,0.26181262760366286,0.10696042541572097,0.3746674534328323,0.0343897971255702
With_O2,P_sativum,sasa_total,-1.0366296296296202,1.3366767259202044,0.13070747297756155,0.4813253282930946
With_O2,P_sativum,sasa_apolar,-1.0138726591760303,0.8588801411179536,0.25836422631432776,0.30321955681795143
With_O2,P_sativum,sasa_polar,-0.022752808988765118,0.500277925538286,0.0005168480089345802,0.9659044378720201
With_O2,P_sativum,frac_apolar,-0.4922065410803545,0.18504072174785285,0.6388440834254263,0.05639092484939809
With_O2,O_spinosa,sasa_total,-0.4221620890553481,0.42390664462217453,0.12410068009271019,0.3524779822657858
With_O2,O_spinosa,sasa_apolar,-0.34336828963795085,0.2216659937328753,0.25528018043628087,0.1653036636006492
With_O2,O_spinosa,sasa_polar,-0.07879608822305546,0.3192419790203576,0.008627956650683142,0.812127836833469
With_O2,O_spinosa,frac_apolar,-0.11900714574367419,0.18089951689138162,0.05822637435418003,0.5316563744304843
